Name                                                        Stmts   Miss  Coverage
numpy\polynomial\legendre.py                                 261      1    99%
numpy\polynomial\polynomial.py                               225      2    99%
numpy\polynomial\polyutils.py                                253      5    98%
numpy\polynomial\setup.py                                      9      9     0%
numpy\polynomial\tests\__init__.py                             0      0   100%
numpy\polynomial\tests\test_chebyshev.py                     442      0   100%
numpy\polynomial\tests\test_classes.py                       441      3    99%
numpy\polynomial\tests\test_hermite.py                       397      0   100%
numpy\polynomial\tests\test_hermite_e.py                     397      0   100%
numpy\polynomial\tests\test_laguerre.py                      382      0   100%
numpy\polynomial\tests\test_legendre.py                      407      0   100%
numpy\polynomial\tests\test_polynomial.py                    432      0   100%
numpy\polynomial\tests\test_polyutils.py                      81      0   100%
numpy\polynomial\tests\test_printing.py                      233      0   100%
numpy\polynomial\tests\test_symbol.py                        121      0   100%
numpy\random\__init__.py                                      17      1    94%
numpy\random\_examples\cffi\extending.py                      20      0   100%
numpy\random\_examples\cffi\parse.py                          33      0   100%
numpy\random\_pickle.py                                       16      1    94%
numpy\random\tests\__init__.py                                 0      0   100%
numpy\random\tests\data\__init__.py                            0      0   100%
numpy\random\tests\test_direct.py                            398     18    95%
numpy\random\tests\test_extending.py                          75     40    47%
numpy\random\tests\test_generator_mt19937.py                1824      9    99%
numpy\random\tests\test_generator_mt19937_regressions.py      97      0   100%
numpy\random\tests\test_random.py                           1160      4    99%
numpy\random\tests\test_randomstate.py                      1419     14    99%
numpy\random\tests\test_randomstate_regression.py            127      5    96%
numpy\random\tests\test_regression.py                         90      1    99%
numpy\random\tests\test_seed_sequence.py                      21      0   100%
numpy\random\tests\test_smoke.py                             670     11    98%
numpy\testing\__init__.py                                     10      0   100%
numpy\testing\_private\__init__.py                             0      0   100%
numpy\testing\_private\extbuild.py                            91     21    77%
numpy\testing\_private\utils.py                              876    186    79%
numpy\testing\overrides.py                                    13      6    54%
numpy\testing\print_coercion_tables.py                       145    134     8%
numpy\testing\setup.py                                        11     11     0%
numpy\testing\tests\__init__.py                                0      0   100%
numpy\testing\tests\test_utils.py                           1064      8    99%
numpy\tests\__init__.py                                        0      0   100%
numpy\tests\test__all__.py                                     5      0   100%
numpy\tests\test_ctypeslib.py                                219     14    94%
numpy\tests\test_lazyloading.py                               24      0   100%
numpy\tests\test_matlib.py                                    36      0   100%
numpy\tests\test_numpy_config.py                              20      0   100%
numpy\tests\test_numpy_version.py                             12      1    92%
numpy\tests\test_public_api.py                               158     26    84%
numpy\tests\test_reloading.py                                 35      1    97%
numpy\tests\test_scripts.py                                   28      5    82%
numpy\tests\test_warnings.py                                  48      4    92%
numpy\typing\__init__.py                                      10      0   100%
numpy\typing\mypy_plugin.py                                   70     39    44%
numpy\typing\setup.py                                          9      9     0%
numpy\typing\tests\__init__.py                                 0      0   100%
numpy\typing\tests\test_isfile.py                             13      0   100%
numpy\typing\tests\test_runtime.py                            53      0   100%
numpy\typing\tests\test_typing.py                            153     86    44%
numpy\version.py                                               6      0   100%
-------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                                                                                              109510  14797    86%
